Date, Open, High, Low, Close
08/31/04, 1099.15, 1104.24, 1094.72, 1104.24
08/30/04, 1107.77, 1107.77, 1099.15, 1099.15
08/27/04, 1105.09, 1109.68, 1104.61, 1107.77
08/26/04, 1104.96, 1106.78, 1102.43, 1105.09
08/25/04, 1096.19, 1106.29, 1093.24, 1104.96
08/24/04, 1095.68, 1100.94, 1092.82, 1096.19
08/23/04, 1098.35, 1101.40, 1094.73, 1095.68
08/20/04, 1091.23, 1100.26, 1089.57, 1098.35
08/19/04, 1095.17, 1095.17, 1086.28, 1091.23
08/18/04, 1081.71, 1095.17, 1078.93, 1095.17
08/17/04, 1079.34, 1086.96, 1079.34, 1081.71
08/16/04, 1064.80, 1080.66, 1064.80, 1079.34
08/13/04, 1063.23, 1067.58, 1060.72, 1064.80
08/12/04, 1075.79, 1075.79, 1062.82, 1063.23
08/11/04, 1079.04, 1079.04, 1065.92, 1075.79
08/10/04, 1065.22, 1079.04, 1065.22, 1079.04
08/09/04, 1063.97, 1069.46, 1063.97, 1065.22
08/06/04, 1080.70, 1080.70, 1062.23, 1063.97
08/05/04, 1098.63, 1098.83, 1079.98, 1080.70
08/04/04, 1099.69, 1102.45, 1092.40, 1098.63
08/03/04, 1106.62, 1106.62, 1099.20, 1099.69
08/02/04, 1101.72, 1108.60, 1097.34, 1106.62
07/30/04, 1100.43, 1103.73, 1096.96, 1101.72
07/29/04, 1095.42, 1103.71, 1095.42, 1100.43
07/28/04, 1094.83, 1098.84, 1082.17, 1095.42
07/27/04, 1084.07, 1096.65, 1084.07, 1094.83
07/26/04, 1086.20, 1089.82, 1078.78, 1084.07
07/23/04, 1096.84, 1096.84, 1083.49, 1086.20
07/22/04, 1093.88, 1099.69, 1084.16, 1096.84
07/21/04, 1108.67, 1116.27, 1093.88, 1093.88
07/20/04, 1100.90, 1108.88, 1099.10, 1108.67
07/19/04, 1101.39, 1105.52, 1096.55, 1100.90
07/16/04, 1106.69, 1112.17, 1101.07, 1101.39
07/15/04, 1111.47, 1114.67, 1106.60, 1106.69
07/14/04, 1115.14, 1119.60, 1107.83, 1111.47
07/13/04, 1114.35, 1116.30, 1112.99, 1115.14
07/12/04, 1112.81, 1116.11, 1106.71, 1114.35
07/09/04, 1109.11, 1115.57, 1109.11, 1112.81
07/08/04, 1118.33, 1119.12, 1108.72, 1109.11
07/07/04, 1116.21, 1122.37, 1114.92, 1118.33
07/06/04, 1125.38, 1125.38, 1113.21, 1116.21
07/02/04, 1128.94, 1129.18, 1123.26, 1125.38
07/01/04, 1140.84, 1140.84, 1123.06, 1128.94
06/30/04, 1136.20, 1144.22, 1133.62, 1140.84
06/29/04, 1133.35, 1138.26, 1131.81, 1136.20
06/28/04, 1134.43, 1142.60, 1131.62, 1133.35
06/25/04, 1140.65, 1145.97, 1134.24, 1134.43
06/24/04, 1144.06, 1146.34, 1139.94, 1140.65
06/23/04, 1134.41, 1145.16, 1131.73, 1144.06
06/22/04, 1130.30, 1135.05, 1124.37, 1134.41
06/21/04, 1135.02, 1138.05, 1129.64, 1130.30
06/18/04, 1132.05, 1139.08, 1129.82, 1135.02
06/17/04, 1133.56, 1133.56, 1126.88, 1132.05
06/16/04, 1132.01, 1135.28, 1130.55, 1133.56
06/15/04, 1125.29, 1137.36, 1125.29, 1132.01
06/14/04, 1136.47, 1136.47, 1122.16, 1125.29
06/10/04, 1131.33, 1136.47, 1131.33, 1136.47
06/09/04, 1142.18, 1142.18, 1114.76, 1131.33
06/08/04, 1140.42, 1142.18, 1135.45, 1142.18
06/07/04, 1122.50, 1140.54, 1122.50, 1140.42
06/04/04, 1116.64, 1129.17, 1116.64, 1122.50
06/03/04, 1124.99, 1125.31, 1116.56, 1116.64
06/02/04, 1121.20, 1128.10, 1118.64, 1124.99
06/01/04, 1120.68, 1122.70, 1113.32, 1121.20
05/28/04, 1121.28, 1122.69, 1118.10, 1120.68
05/27/04, 1114.94, 1123.95, 1114.86, 1121.28
05/26/04, 1113.05, 1116.71, 1109.91, 1114.94
05/25/04, 1095.41, 1113.80, 1090.74, 1113.05
05/24/04, 1093.56, 1101.71, 1091.77, 1095.41
05/21/04, 1089.19, 1099.70, 1089.19, 1093.56
05/20/04, 1088.68, 1092.62, 1085.43, 1089.19
05/19/04, 1091.49, 1105.93, 1088.49, 1088.68
05/18/04, 1084.10, 1094.14, 1084.10, 1091.49
05/17/04, 1095.70, 1095.70, 1079.36, 1084.10
05/14/04, 1096.44, 1102.37, 1088.24, 1095.70
05/13/04, 1097.28, 1102.77, 1091.76, 1096.44
05/12/04, 1095.45, 1097.55, 1076.32, 1097.28
05/11/04, 1087.12, 1095.69, 1087.12, 1095.45
05/10/04, 1098.70, 1098.70, 1079.63, 1087.12
05/07/04, 1113.99, 1117.33, 1098.63, 1098.70
05/06/04, 1121.53, 1121.53, 1106.30, 1113.99
05/05/04, 1119.55, 1125.07, 1117.86, 1121.53
05/04/04, 1117.49, 1127.74, 1112.89, 1119.55
05/03/04, 1107.30, 1118.72, 1107.30, 1117.49
04/30/04, 1113.89, 1119.26, 1107.23, 1107.30
04/29/04, 1122.41, 1128.80, 1108.02, 1113.89
04/28/04, 1138.11, 1138.11, 1121.70, 1122.41
04/27/04, 1135.53, 1146.84, 1135.53, 1138.11
04/26/04, 1140.60, 1145.08, 1132.91, 1135.53
04/23/04, 1139.93, 1141.92, 1134.81, 1140.60
04/22/04, 1124.09, 1142.77, 1121.92, 1139.93
04/21/04, 1118.15, 1125.72, 1116.03, 1124.09
04/20/04, 1135.82, 1139.26, 1118.09, 1118.15
04/19/04, 1134.56, 1136.18, 1129.84, 1135.82
04/16/04, 1128.84, 1136.80, 1126.79, 1134.61
04/15/04, 1128.17, 1134.08, 1120.75, 1128.84
04/14/04, 1129.44, 1132.52, 1122.15, 1128.17
04/13/04, 1145.20, 1147.81, 1127.70, 1129.44
04/12/04, 1139.32, 1147.29, 1139.32, 1145.20
04/08/04, 1140.53, 1148.97, 1134.52, 1139.32
04/07/04, 1148.16, 1148.16, 1138.41, 1140.53
04/06/04, 1150.57, 1150.57, 1143.30, 1148.16
04/05/04, 1141.81, 1150.57, 1141.64, 1150.57
04/02/04, 1132.17, 1144.81, 1132.17, 1141.81
04/01/04, 1126.21, 1135.67, 1126.20, 1132.17
03/31/04, 1127.00, 1130.83, 1121.46, 1126.21
03/30/04, 1122.47, 1127.60, 1119.66, 1127.00
03/29/04, 1108.06, 1124.37, 1108.06, 1122.47
03/26/04, 1109.19, 1115.27, 1106.13, 1108.06
